Afghanistan,Áp-ga-ni-xtan
Albania,An-ba-ni
Algeria,An-giê-ri
Andorra,An-đô-ra
Angola,Ăng-gô-la
Antigua and Barbuda,An-ti-goa và Bác-bu-đa
Argentina,Ác-hen-ti-na
Armenia,Ác-mê-ni-a
Australia,Úc (Ô-xtơ-rây-li-a)
Austria,Áo
Azerbaijan,A-déc-bai-dan
Bahamas,Ba-ha-mát
Bahrain,Ba-ranh
Bangladesh,Băng-la-đét
Barbados,Bác-ba-đốt
Belarus,Bê-la-rút
Belgium,Bỉ
Belize,Bê-li-xê
Benin,Bê-nanh
Bhutan,Bu-tan
Bolivia,Bô-li-vi-a
Bosnia and Herzegovina,Bô-xni-a Héc-dê-gô-vi-na
Botswana,Bốt-xoa-na
Brazil,Bra-xin
Brunei,Bru-nây
Bulgaria,Bun-ga-ri
Burkina Faso,Buốc-ki-na Pha-xô
Burundi,Bu-run-đi
Cabo Verde,Cáp-ve
Cambodia,Cam-pu-chia
Cameroon,Ca-mơ-run
Canada,Ca-na-đa
Central African Republic,Cộng hòa Trung Phi
Chad,Sát (Tchad)
Chile,Chi-lê
China,Trung Quốc
Colombia,Cô-lôm-bi-a
Comoros,Cô-mô-rô
Congo,Cộng hòa Công-gô
Costa Rica,Cốt-xta-ri-ca
Côte d'Ivoire,Bờ Biển Ngà (Cốt-đi-voa)
Croatia,Crô-a-ti-a
Cuba,Cu-ba
Cyprus,Đảo Síp
Czechia,Séc
Denmark,Đan mạch
Djibouti,Gi-bu-ti
Dominica,Đô-mi-ni-ca-na
Dominican Republic,Cộng hòa Đô-mi-ni-ca-na
DR Congo,Cộng hoà dân chủ Công-gô
Ecuador,Ê-cu-a-đo
Egypt,Ai Cập
El Salvador,En Xan-va-đo
Equatorial Guinea,Ghi-nê xích đạo
Eritrea,Ê-ri-tơ-rê-a
Estonia,E-xtô-ni-a
Eswatini,E-xoa-ti-ni
Ethiopia,Ê-ti-ô-pi-a
Fiji,Phi-gi
Finland,Phần Lan
France,Pháp
Gabon,Ga-bông
Gambia,Găm-bi-a
Georgia,Giê-óoc-gi-a
Germany,Đức
Ghana,Gha-na
Greece,Hy Lạp
Grenada,Grê-na-đa
Guatemala,Goa-tê-ma-la
Guinea,Ghi-nê
